,Title,Year,Runtime,Genre,Rating
396,Die Another Day,2002,133,"Action,Adventure,Thriller",6.1
397,The Lost World: Jurassic Park,1997,129,"Action,Adventure,Sci-Fi",6.5
398,We Were Soldiers,2002,138,"Action,Drama,History",7.2
399,Mortal Kombat: Annihilation,1997,95,"Action,Adventure,Fantasy",3.6
400,Madagascar: Escape 2 Africa,2008,89,"Animation,Adventure,Comedy",6.6
401,Walking Tall,2004,86,"Action,Crime",6.3
402,Die Hard 2,1990,124,"Action,Thriller",7.1
403,The Nightmare Before Christmas,1993,76,"Animation,Family,Fantasy",7.9
404,Stargate,1994,116,"Action,Adventure,Sci-Fi",7
405,Bridget Jones's Diary,2001,97,"Comedy,Drama,Romance",6.8
406,From Hell,2001,122,"Horror,Mystery,Thriller",6.7
407,Daredevil,2003,103,"Action,Crime",5.3
408,Lara Croft: Tomb Raider,2001,100,"Action,Adventure,Fantasy",5.8
409,Mission: Impossible,1996,110,"Action,Adventure,Thriller",7.2
410,Jay and Silent Bob Strike Back,2001,104,Comedy,6.8
411,The Terminal,2004,128,"Comedy,Drama,Romance",7.4
412,Along Came Polly,2004,90,"Comedy,Romance",6
413,The Devil's Rejects,2005,107,"Crime,Drama,Horror",6.7
414,Banlieue 13: Ultimatum,2009,101,"Action,Crime,Thriller",6.5
415,The Mummy Returns,2001,130,"Action,Adventure,Fantasy",6.4
416,Alien³,1992,114,"Action,Horror,Sci-Fi",6.4
417,Mrs. Doubtfire,1993,125,"Comedy,Drama",7.1
418,The Dukes of Hazzard,2005,104,Comedy,5.1
419,Clerks II,2006,97,Comedy,7.3
420,The Abyss,1989,140,"Adventure,Drama,Mystery",7.5
421,Scary Movie 2,2001,83,"Comedy,Horror",5.3
422,Mary Poppins,1964,139,"Comedy,Family,Fantasy",7.8
423,Coach Carter,2005,136,"Biography,Drama,Sport",7.3
424,Police Academy,1984,96,Comedy,6.7
425,Cube,1997,90,"Horror,Mystery,Sci-Fi",7.1
426,Clerks,1994,92,Comedy,7.7
427,Zwartboek,2006,145,"Drama,Thriller,War",7.7
428,Final Destination 3,2006,93,"Horror,Thriller",5.8
429,Corpse Bride,2005,77,"Animation,Drama,Family",7.4
430,The Texas Chainsaw Massacre,2003,98,Horror,6.2
431,Halloween,1978,91,"Horror,Thriller",7.7
432,What Lies Beneath,2000,130,"Drama,Horror,Mystery",6.6
433,Snakes on a Plane,2006,105,"Action,Adventure,Crime",5.5
434,G-Force,2009,88,"Animation,Action,Adventure",5.1
435,The Black Dahlia,2006,121,"Crime,Drama,Mystery",5.6
436,The World Is Not Enough,1999,128,"Action,Adventure,Thriller",6.4
437,Rat Race,2001,112,"Action,Adventure,Comedy",6.5
438,Final Destination,2000,98,"Horror,Thriller",6.7
439,Brüno,2009,81,Comedy,5.9
440,Jurassic Park III,2001,92,"Action,Adventure,Sci-Fi",5.9
441,Disaster Movie,2008,87,"Comedy,Sci-Fi",1.9
442,The Exorcism of Emily Rose,2005,119,"Drama,Horror,Thriller",6.7
443,The Skeleton Key,2005,104,"Drama,Horror,Mystery",6.5
444,Lethal Weapon,1987,109,"Action,Crime,Thriller",7.6
445,"Dude, Where's My Car?",2000,83,"Comedy,Mystery,Sci-Fi",5.5
446,Over the Hedge,2006,83,"Animation,Adventure,Comedy",6.7
447,Cheaper by the Dozen,2003,98,"Comedy,Family",5.9
448,13 Going on 30,2004,98,"Comedy,Fantasy,Romance",6.3
449,Planet of the Apes,1968,112,"Adventure,Sci-Fi",8
450,Jumanji,1995,104,"Adventure,Comedy,Family",7.1
451,Deep Impact,1998,120,"Action,Drama,Sci-Fi",6.2
452,Pocahontas,I 1995,81,"Animation,Adventure,Drama",6.7
453,Wild Hogs,2007,100,"Action,Adventure,Comedy",5.8
454,Alice in Wonderland,1951,75,"Animation,Adventure,Comedy",7.3
455,Four Rooms,1995,98,Comedy,6.7
456,The Ruins,2008,90,"Adventure,Horror,Thriller",5.9
457,Happy Feet,2006,108,"Animation,Adventure,Comedy",6.4
458,Mission: Impossible II,2000,123,"Action,Adventure,Thriller",6.1
459,Elf,2003,97,"Adventure,Comedy,Family",7.1
460,The Hills Have Eyes II,2007,89,"Horror,Thriller",5.1
461,What Women Want,2000,127,"Comedy,Fantasy,Romance",6.4
462,Oorlogswinter,2008,103,"Drama,History,War",7
463,Dreamcatcher,2003,136,"Drama,Horror,Sci-Fi",5.5
464,Epic Movie,2007,86,"Adventure,Comedy,Fantasy",2.4
465,Gremlins,1984,106,"Comedy,Fantasy,Horror",7.3
466,Miss Congeniality,2000,109,"Action,Comedy,Crime",6.3
467,John Q,2002,116,"Crime,Drama,Thriller",7.1
468,Spy Kids,2001,88,"Action,Adventure,Comedy",5.6
469,Saw II,2005,93,"Horror,Mystery",6.6
470,Did You Hear About the Morgans?,2009,103,"Comedy,Drama,Romance",4.9
471,DOA: Dead or Alive,2006,87,"Action,Adventure,Mystery",4.8
472,Catwoman,2004,104,"Action,Crime,Fantasy",3.4
473,Scary Movie 3,2003,84,Comedy,5.5
474,Freaky Friday,2003,97,"Comedy,Family,Fantasy",6.3
475,Beverly Hills Cop,1984,105,"Action,Comedy,Crime",7.4
476,AVPR: Aliens vs Predator - Requiem,2007,94,"Action,Horror,Sci-Fi",4.6
477,Tomorrow Never Dies,1997,119,"Action,Adventure,Thriller",6.5
478,AVP: Alien vs. Predator,2004,101,"Action,Adventure,Horror",5.7
479,What a Girl Wants,2003,105,"Comedy,Drama,Family",5.8
480,Evil Dead II,1987,84,"Comedy,Horror",7.7
481,My Bloody Valentine,2009,101,"Horror,Mystery,Thriller",5.4
482,Passengers,2008,93,"Mystery,Romance,Thriller",5.8
483,I Know What You Did Last Summer,1997,101,"Horror,Mystery",5.8
484,The Texas Chainsaw Massacre: The Beginning,2006,91,Horror,5.8
485,Paycheck,2003,119,"Action,Mystery,Sci-Fi",6.3
486,Starsky & Hutch,2004,101,"Comedy,Crime",6.1
487,The Princess Diaries 2: Royal Engagement,2004,113,"Comedy,Family,Romance",5.8
488,Mad Max 2,1981,96,"Action,Adventure,Sci-Fi",7.6
489,Tarzan,1999,88,"Animation,Adventure,Comedy",7.3
490,Miami Vice,2006,132,"Action,Crime,Drama",6.1
491,Shark Tale,2004,90,"Animation,Adventure,Comedy",6
492,The Time Machine,2002,96,"Action,Adventure,Sci-Fi",6
493,The Grudge,2004,91,"Horror,Mystery,Thriller",5.9
494,Freddy vs. Jason,2003,97,"Action,Horror",5.7
495,Behind Enemy Lines,2001,106,"Action,Drama,Thriller",6.4
496,Saw V,2008,92,"Horror,Thriller",5.8
497,Runaway Jury,2003,127,"Crime,Drama,Thriller",7.1
498,The Eye,2008,98,"Horror,Mystery",5.4
499,Romeo Must Die,2000,115,"Action,Crime,Thriller",6.1
500,Rules of Engagement,2000,128,"Drama,Thriller,War",6.4
501,Analyze That,2002,96,"Comedy,Crime",5.9
502,Get Carter,2000,102,"Action,Crime,Drama",5.1
503,Freddy Got Fingered,2001,87,Comedy,4.6
504,Transformers,2007,144,"Action,Adventure,Sci-Fi",7
505,Hostel: Part II,2007,94,Horror,5.5
506,Beerfest,2006,110,Comedy,6.2
507,The Condemned,2007,114,"Action,Crime,Thriller",6
508,Predator 2,1990,108,"Action,Horror,Sci-Fi",6.3
509,How the Grinch Stole Christmas,2000,104,"Comedy,Family,Fantasy",6.3
510,The Wicker Man,2006,102,"Horror,Mystery,Thriller",3.8
511,Assault on Precinct 13,2005,109,"Action,Crime,Drama",6.3
512,Robots,2005,91,"Animation,Adventure,Comedy",6.4
513,Mr. Deeds,2002,96,"Comedy,Romance",5.8
514,Superhero Movie,2008,75,"Action,Comedy,Sci-Fi",4.7
515,Lilo & Stitch,2002,85,"Animation,Adventure,Comedy",7.3
516,Saw IV,2007,93,"Horror,Mystery,Thriller",5.9
517,40 Days and 40 Nights,2002,96,"Comedy,Romance",5.6
518,Rambo: First Blood Part II,1985,96,"Action,Adventure,Thriller",6.5
519,Enter the Dragon,1973,102,"Action,Crime,Thriller",7.6
520,The Addams Family,1991,99,"Comedy,Fantasy",6.9
521,The Spiderwick Chronicles,2008,96,"Action,Adventure,Drama",6.5
522,Elektra,2005,97,"Action,Adventure,Crime",4.7
523,8MM,1999,123,"Crime,Drama,Mystery",6.6
524,Æon Flux,2005,93,"Action,Adventure,Sci-Fi",5.4
525,Joy Ride,2001,97,"Action,Mystery,Thriller",6.6
526,Space Jam,1996,88,"Animation,Adventure,Comedy",6.5
527,Goldfinger,1964,110,"Action,Adventure,Thriller",7.7
528,How High,2001,93,"Comedy,Fantasy",6.2
529,Home Alone 2: Lost in New York,1992,120,"Adventure,Comedy,Crime",6.9
530,Flash Gordon,1980,111,"Action,Adventure,Sci-Fi",6.5
531,The Naked Gun: From the Files of Police Squad!,1988,85,"Comedy,Crime",7.6
532,Conan the Destroyer,1984,103,"Action,Adventure,Fantasy",5.9
533,Semi-Pro,2008,91,"Comedy,Sport",5.8
534,Ghostbusters II,1989,108,"Action,Comedy,Fantasy",6.6
535,Deep Blue Sea,1999,105,"Action,Adventure,Sci-Fi",5.9
536,Surf's Up,2007,85,"Animation,Adventure,Comedy",6.7
537,My Sassy Girl,2008,92,"Comedy,Drama,Romance",6.2
538,In Her Shoes,2005,130,"Comedy,Drama,Romance",6.5
539,The X Files: I Want to Believe,2008,104,"Crime,Drama,Horror",5.9
540,Evolution,2001,101,"Comedy,Sci-Fi",6.1
541,Dr. No,1962,110,"Action,Adventure,Thriller",7.2
542,"You, Me and Dupree",2006,110,"Comedy,Romance",5.6
543,The Wedding Planner,2001,103,"Comedy,Romance",5.3
544,Nanny McPhee,2005,97,"Comedy,Family,Fantasy",6.6
545,Thir13en Ghosts,2001,91,"Fantasy,Horror",5.6
546,Lara Croft: Tomb Raider - The Cradle of Life,2003,117,"Action,Adventure,Fantasy",5.5
547,Gothika,2003,98,"Horror,Mystery,Thriller",5.8
548,Mr. Bean's Holiday,2007,90,"Comedy,Family",6.4
549,Fun with Dick and Jane,2005,90,"Comedy,Crime",6.2
550,Psycho,1998,105,"Horror,Mystery,Thriller",4.6
551,The Polar Express,2004,100,"Animation,Adventure,Comedy",6.6
552,Rambo III,1988,102,"Action,Adventure,Thriller",5.8
553,Friday the 13th,1980,95,"Horror,Mystery,Thriller",6.4
554,The Rookie,2002,127,"Drama,Family,Sport",6.9
555,Universal Soldier,1992,102,"Action,Sci-Fi",6.1
556,The Family Man,2000,125,"Comedy,Drama,Fantasy",6.8
557,Bad Santa,2003,92,"Comedy,Crime,Drama",7.1
558,Che: Part One,2008,134,"Biography,Drama,History",7.1
559,Rampage,2009,85,"Action,Crime,Thriller",6.2
560,The Long Kiss Goodnight,1996,121,"Action,Crime,Drama",6.8
561,The Hunchback of Notre Dame,1996,91,"Animation,Drama,Family",7
562,Hide and Seek,2005,101,"Horror,Mystery",5.9
563,101 Dalmatians,1996,103,"Adventure,Comedy,Crime",5.7
564,Analyze This,1999,103,"Comedy,Crime",6.7
565,Under Siege,1992,103,"Action,Thriller",6.5
566,Wayne's World 2,1993,95,"Comedy,Music",6.2
567,Good Bye Lenin!,2003,121,"Comedy,Drama,Romance",7.7
568,Bedazzled,2000,93,"Comedy,Fantasy",6.1
569,Final Fantasy: The Spirits Within,2001,106,"Animation,Action,Adventure",6.4
570,Live and Let Die,1973,121,"Action,Adventure,Thriller",6.7
571,A View to a Kill,1985,131,"Action,Adventure,Thriller",6.3
572,Two for the Money,2005,122,"Crime,Drama,Sport",6.2
573,Flight of the Phoenix,2004,113,"Action,Adventure,Drama",6.1
574,Sister Act 2: Back in the Habit,1993,107,"Comedy,Family,Music",5.7
575,Johnny English,2003,89,"Action,Adventure,Comedy",6.2
576,Post Grad,2009,88,"Comedy,Family,Romance",5.3
577,The Eye,2008,98,"Horror,Mystery",5.4
578,Kingpin,1996,114,"Comedy,Sport",6.9
579,Super Mario Bros.,1993,104,"Adventure,Comedy,Family",4.1
580,The Whole Ten Yards,2004,98,"Comedy,Crime,Thriller",5.5
581,Peter Pan,1953,77,"Animation,Adventure,Family",7.3
582,Windtalkers,2002,134,"Action,Drama,War",6.1
583,Fainaru fantajî sebun adobento chirudoren,2005,101,"Animation,Action,Adventure",7.2
584,Stuart Little,1999,84,"Adventure,Comedy,Family",6
585,Jeepers Creepers,2001,90,"Horror,Mystery",6.2
586,Deuce Bigalow: Male Gigolo,1999,88,"Comedy,Romance",5.7
587,Knockaround Guys,2001,92,"Crime,Drama,Thriller",6.1
588,The Messengers,2007,90,"Drama,Horror,Mystery",5.3
589,Cool Runnings,1993,98,"Adventure,Comedy,Family",7
590,Norbit,2007,103,"Comedy,Romance",4.2
591,Open Season 2,2008,76,"Animation,Adventure,Comedy",5.5
592,Far Cry,2008,95,"Action,Adventure,Sci-Fi",3.2
593,Lethal Weapon 2,1989,114,"Action,Crime,Thriller",7.3
594,Moonraker,1979,126,"Action,Adventure,Sci-Fi",6.2
595,Never Say Never Again,1983,134,"Action,Adventure,Thriller",6.1
596,Goal!,2005,118,"Drama,Romance,Sport",6.7
597,Ali G Indahouse,2002,85,Comedy,6.2
598,Dinosaur,2000,82,"Animation,Adventure,Drama",6.4
599,Alone in the Dark,2005,99,"Action,Horror,Sci-Fi",2.4
600,Pinocchio,1940,88,"Animation,Adventure,Comedy",7.5
601,Stan Helsing,2009,108,"Comedy,Fantasy,Horror",3.6
602,Big Momma's House,2000,99,"Action,Comedy,Crime",5.2
603,Conspiracy Theory,1997,135,"Action,Drama,Mystery",6.7
604,Naked Gun 33 1/3: The Final Insult,1994,83,"Comedy,Crime",6.5
605,Octopussy,1983,131,"Action,Adventure,Thriller",6.5
606,Torque,2004,84,"Action,Comedy,Crime",4.1
607,Jaws: The Revenge,1987,89,"Adventure,Horror,Thriller",3
608,Home Alone 3,1997,102,"Action,Comedy,Crime",4.6
609,He Got Game,1998,136,"Drama,Sport",6.9
610,Shaft,2000,99,"Action,Crime,Thriller",6
611,Babe,1995,91,"Comedy,Drama,Family",6.9
612,The Gift,2000,112,"Drama,Fantasy,Horror",6.7
613,Cheaper by the Dozen 2,2005,94,"Adventure,Comedy,Family",5.5
614,The Texas Chain Saw Massacre,1974,83,Horror,7.4
615,Looney Tunes: Back in Action,2003,93,"Animation,Adventure,Comedy",5.8
616,The Reaping,2007,99,"Horror,Thriller",5.6
617,The Ring Two,2005,110,"Horror,Mystery",5.4
618,Collateral Damage,2002,108,"Action,Drama,Thriller",5.5
619,The Longest Day,1962,178,"Action,Drama,History",7.7
620,The SpongeBob SquarePants Movie,2004,87,"Animation,Adventure,Comedy",7.1
621,Raise Your Voice,2004,107,"Family,Music,Musical",5.8
622,The Naked Gun 2½: The Smell of Fear,1991,85,"Comedy,Crime",6.9
623,White Men Can't Jump,1992,115,"Comedy,Sport",6.8
624,Mindhunters,2004,106,"Crime,Horror,Thriller",6.3
625,The Forgotten,2004,91,"Drama,Mystery,Sci-Fi",5.8
626,Monster House,2006,91,"Animation,Comedy,Family",6.6
627,Resident Evil: Degeneration,2008,97,"Animation,Action,Horror",6.4
628,Police Academy 4: Citizens on Patrol,1987,88,"Comedy,Crime",5
629,Street Fighter,1994,102,"Action,Adventure,Comedy",4
630,Bride & Prejudice,2004,122,"Comedy,Drama,Musical",6.2
631,About Schmidt,2002,125,Drama,7.2
632,Employee of the Month,2006,103,"Comedy,Romance",5.5
633,Brother Bear,2003,85,"Animation,Adventure,Comedy",6.8
634,Dumbo,1941,64,"Animation,Adventure,Drama",7.2
635,The Karate Kid Part II,1986,113,"Action,Family,Sport",6.1
636,Kiss of the Dragon,2001,98,"Action,Crime,Thriller",6.6
637,Crocodile Dundee,1986,97,"Action,Adventure,Comedy",6.6
638,Escape from L.A.,1996,101,"Action,Adventure,Sci-Fi",5.7
639,Joan of Arc,1999,158,"Adventure,Biography,Drama",6.4
640,The Fox and the Hound,1981,83,"Animation,Adventure,Drama",7.2
641,Bandidas,2006,93,"Action,Comedy,Crime",5.7
642,Big Momma's House 2,2006,99,"Comedy,Crime",4.8
643,Lethal Weapon 3,1992,118,"Action,Crime,Thriller",6.7
644,Escape from Alcatraz,1979,112,"Action,Biography,Crime",7.6
645,Deuce Bigalow: European Gigolo,2005,83,Comedy,4.7
646,Taxi,I 1998,89,"Action,Comedy,Crime",7
647,Black Sheep,2006,87,"Comedy,Horror,Sci-Fi",5.8
648,Imagine That,2009,107,"Comedy,Drama,Family",5.6
649,Over Her Dead Body,2008,95,"Comedy,Fantasy,Romance",5.3
650,Mad Max Beyond Thunderdome,1985,107,"Action,Adventure,Sci-Fi",6.2
651,Coneheads,1993,88,"Comedy,Sci-Fi",5.4
652,Lady and the Tramp,1955,76,"Animation,Adventure,Comedy",7.3
653,The Butterfly Effect 3: Revelations,2009,90,"Crime,Sci-Fi,Thriller",5.6
654,Charlotte's Web,2006,97,"Adventure,Comedy,Family",6.3
655,The Butterfly Effect 2,2006,92,"Drama,Sci-Fi,Thriller",4.5
656,Jaws 2,1978,116,"Adventure,Horror,Thriller",5.8
657,Glory Road,2006,118,"Biography,Drama,Sport",7.2
658,Scooby-Doo 2: Monsters Unleashed,2004,93,"Adventure,Comedy,Family",5.2
659,RoboCop 2,1990,117,"Action,Crime,Sci-Fi",5.8
660,Mean Machine,2001,99,"Comedy,Crime,Drama",6.4
661,Don't Say a Word,2001,113,"Drama,Mystery,Thriller",6.3
662,Garfield: The Movie,2004,80,"Adventure,Comedy,Family",5
663,Small Soldiers,1998,108,"Action,Adventure,Comedy",6.2
664,Taxi,I 2004,97,"Action,Comedy,Crime",4.5
665,Femme Fatale,2002,114,"Crime,Drama,Mystery",6.2
666,Daddy Day Care,2003,92,"Comedy,Family",5.6
667,Blue Streak,1999,93,"Action,Comedy,Crime",6.3
668,The Cat in the Hat,2003,82,"Adventure,Comedy,Family",4.1
669,Cats & Dogs,2001,87,"Action,Adventure,Comedy",5.1
670,Baise-moi,2000,77,"Crime,Drama,Thriller",4.4
671,Beverly Hills Cop II,1987,100,"Action,Comedy,Crime",6.5
672,Dragonfly,2002,104,"Drama,Fantasy,Mystery",6.1
673,Captivity,2007,96,"Crime,Horror,Mystery",4.6
674,Bride of Chucky,1998,89,"Comedy,Horror,Thriller",5.6
675,Cube 2: Hypercube,2002,94,"Horror,Mystery,Sci-Fi",5.5
676,Ginger Snaps,2000,108,"Drama,Fantasy,Horror",6.8
677,Strange Wilderness,2008,87,"Adventure,Comedy",5.2
678,The Hunted,2003,94,"Action,Crime,Drama",6.1
679,Ladder 49,2004,115,"Action,Drama,Thriller",6.5
680,Bulletproof Monk,2003,104,"Action,Comedy,Fantasy",5.4
681,Bean,1997,89,"Adventure,Comedy,Family",6.5
682,Jason X,2001,92,"Action,Horror,Sci-Fi",4.4
683,Cocoon,1985,117,"Comedy,Drama,Sci-Fi",6.7
684,National Security,2003,88,"Action,Comedy,Crime",5.6
685,The Grudge 2,2006,102,"Horror,Thriller",5
686,I Spy,2002,97,"Action,Adventure,Comedy",5.4
687,Bubble Boy,2001,84,"Adventure,Comedy,Romance",5.7
688,Changing Lanes,2002,98,"Drama,Thriller",6.5
689,Stuck on You,2003,118,Comedy,5.8
690,Spirit: Stallion of the Cimarron,2002,83,"Animation,Adventure,Drama",7.2
691,Fucking Åmål,1998,89,"Comedy,Drama,Romance",7.5
692,Beverly Hills Ninja,1997,88,"Action,Comedy",5.5
693,D-War,2007,107,"Action,Drama,Fantasy",3.5
694,George of the Jungle,1997,92,"Action,Adventure,Comedy",5.5
695,White Noise,I 2005,101,"Drama,Horror,Mystery",5.5
696,Beethoven,1992,87,"Comedy,Drama,Family",5.7
697,Herbie Fully Loaded,2005,101,"Adventure,Comedy,Family",4.9
698,A Nightmare on Elm Street 3: Dream Warriors,1987,96,"Fantasy,Horror",6.6
699,Seed of Chucky,2004,87,"Comedy,Horror,Thriller",4.9
700,Bratz,2007,110,"Comedy,Family,Music",3.1
701,Biker Boyz,2003,110,"Action,Drama",4.6
702,Exorcist: The Beginning,2004,114,"Horror,Mystery,Thriller",5.1
703,Dennis the Menace,1993,94,"Comedy,Family",5.6
704,Boat Trip,2002,94,Comedy,4.9
705,Ri¢hie Ri¢h,1994,95,"Comedy,Family",5.4
706,Jesus Christ Superstar,1973,106,"Drama,History,Musical",7.3
707,Eight Legged Freaks,2002,99,"Action,Adventure,Comedy",5.5
708,The Nutty Professor,1996,95,"Comedy,Romance,Sci-Fi",5.7
709,Swimfan,2002,85,"Drama,Thriller",5.1
710,A Goofy Movie,1995,78,"Animation,Adventure,Comedy",6.9
711,Goal II: Living the Dream,2007,115,"Drama,Sport",5.8
712,Like Mike,2002,99,"Comedy,Family,Fantasy",5.4
713,"Legally Blonde 2: Red, White & Blonde",2003,95,Comedy,4.8
714,The Karate Kid Part III,1989,112,"Action,Drama,Family",5.3
715,Beverly Hills Cop III,1994,104,"Action,Comedy,Crime",5.5
716,Doctor Dolittle,1998,85,"Comedy,Family,Fantasy",5.4
717,Jingle All the Way,1996,89,"Adventure,Comedy,Family",5.7
718,Jeepers Creepers 2,2003,106,Horror,5.7
719,Bowfinger,1999,97,Comedy,6.5
720,Spy Kids 2: Island of Lost Dreams,2002,100,"Action,Adventure,Comedy",5.3
721,The Tuxedo,2002,98,"Action,Comedy,Sci-Fi",5.4
722,Astérix & Obélix : Mission Cléopâtre,2002,107,"Adventure,Comedy,Family",6.7
723,Open Water,2003,79,"Adventure,Drama,Horror",5.8
724,The Great Mouse Detective,1986,74,"Animation,Adventure,Family",7.1
725,RoboCop 3,1993,104,"Action,Crime,Sci-Fi",4.1
726,Ravenous,1999,101,"Adventure,Drama,Horror",6.9
727,The Animatrix,2003,100,"Animation,Action,Sci-Fi",7.3
728,Mr. Woodcock,2007,87,"Comedy,Romance,Sport",5.2
729,The Grudge 3,2009,90,"Horror,Mystery,Thriller",4.6
730,Speed 2: Cruise Control,1997,121,"Action,Adventure,Crime",3.9
731,Gremlins 2: The New Batch,1990,106,"Comedy,Fantasy,Horror",6.4
732,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,87,Horror,5.4
733,Dance of the Dead,2008,87,"Action,Comedy,Horror",5.8
734,The Deaths of Ian Stone,2007,87,"Horror,Thriller",5.5
735,Volcano,1997,104,"Action,Drama,Sci-Fi",5.5
736,Police Academy 2: Their First Assignment,1985,87,Comedy,5.8
737,Wes Craven's New Nightmare,1994,112,"Fantasy,Horror,Mystery",6.4
738,The Santa Clause,1994,97,"Comedy,Drama,Family",6.6
739,Black Knight,2001,95,"Adventure,Comedy,Fantasy",4.9
740,Forrest Gump,1994,142,"Drama,Romance",8.8
741,Titanic,1997,194,"Drama,Romance",7.9
742,Memento,2000,113,"Mystery,Thriller",8.4
743,American History X,1998,119,"Crime,Drama",8.5
744,V for Vendetta,2005,132,"Action,Drama,Sci-Fi",8.2
745,Goodfellas,1990,145,"Biography,Crime,Drama",8.7
746,Iron Man,2008,126,"Action,Adventure,Sci-Fi",7.9
747,Casino Royale,2006,144,"Action,Adventure,Thriller",8
748,Spider-Man,2002,121,"Action,Adventure,Sci-Fi",7.4
749,Pirates of the Caribbean: Dead Man's Chest,2006,151,"Action,Adventure,Fantasy",7.4
750,Independence Day,1996,145,"Action,Adventure,Sci-Fi",7
751,Ocean's Eleven,2001,116,"Crime,Thriller",7.7
752,Pirates of the Caribbean: At World's End,2007,169,"Action,Adventure,Fantasy",7.1
753,Armageddon,1998,151,"Action,Adventure,Sci-Fi",6.7
754,Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure,Family,Fantasy",7.9
755,Harry Potter and the Order of the Phoenix,2007,138,"Action,Adventure,Family",7.5
756,E.T. the Extra-Terrestrial,1982,115,"Adventure,Family,Sci-Fi",7.9
757,Mr. & Mrs. Smith,2005,120,"Action,Comedy,Crime",6.5
758,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,"Adventure,Family,Fantasy",6.9
759,Black Hawk Down,2001,144,"Action,Drama,History",7.7
760,Life of Brian,1979,94,Comedy,8
761,The Mummy,1999,124,"Action,Adventure,Fantasy",7.1
762,Quantum of Solace,2008,106,"Action,Adventure,Mystery",6.6
763,Meet the Parents,2000,108,"Comedy,Romance",7
764,The Aviator,2004,170,"Biography,Drama",7.5
765,2012,I 2009,158,"Action,Adventure,Sci-Fi",5.8
766,The Passion of the Christ,2004,127,Drama,7.2
767,Ghostbusters,1984,105,"Action,Comedy,Fantasy",7.8
768,Home Alone,1990,103,"Comedy,Family",7.7
769,Kingdom of Heaven,2005,144,"Action,Adventure,Drama",7.3
770,Speed,1994,116,"Action,Adventure,Thriller",7.3
771,The Thing,1982,109,"Horror,Mystery,Sci-Fi",8.2
772,Pineapple Express,2008,111,"Action,Comedy,Crime",6.9
773,Constantine,2005,121,"Action,Fantasy,Horror",7
774,Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",7.4
775,Chicago,2002,113,"Comedy,Crime,Musical",7.2
776,Death Proof,2007,127,"Action,Thriller",7
777,Ice Age,2002,81,"Animation,Adventure,Comedy",7.5
778,"South Park: Bigger, Longer & Uncut",1999,81,"Animation,Comedy,Fantasy",7.7
779,Street Fighter: The Legend of Chun-Li,2009,96,"Action,Crime,Fantasy",3.7
780,Martyrs,2008,99,Horror,7
781,G.I. Joe: The Rise of Cobra,2009,118,"Action,Adventure,Sci-Fi",5.7
782,Terminator Salvation,2009,115,"Action,Adventure,Sci-Fi",6.5
783,Spider-Man 3,2007,139,"Action,Adventure,Sci-Fi",6.3
784,Loft,I 2010,108,"Crime,Drama,Thriller",6.8
785,The Descent,2005,99,"Adventure,Horror,Thriller",7.2
786,The Descent: Part 2,2009,94,"Adventure,Horror,Thriller",5.7
